Localidade,GEOCODIGO,temp1,temp2,2007,2016,Aumento (%)
Jacareacanga,1503754,"10,0","60,0",10,60,454.5454545
Jacundá,1503804,"75,0","234,0",75,234,209.2105263
Juruti,1503903,"21,0","239,0",21,239,990.9090909
Limoeiro do Ajuru,1504000,"2,0","78,0",2,78,2533.333333
Mãe do Rio,1504059,"53,0","169,0",53,169,214.8148148
Magalhães Barata,1504109,"4,0","21,0",4,21,340
Marabá,1504208,"476,0","1097,0",476,1097,130.1886792
Maracanã,1504307,"8,0","255,0",8,255,2744.444444
Marapanim,1504406,"6,0","133,0",6,133,1814.285714
Marituba,1504422,"13,0","372,0",13,372,2564.285714
Medicilândia,1504455,"60,0","86,0",60,86,42.62295082
Melgaço,1504505,"28,0","84,0",28,84,193.1034483
Mocajuba,1504604,"7,0","67,0",7,67,750
Moju,1504703,"136,0","319,0",136,319,133.5766423
Mojuí dos Campos,1504752,,"119,0",#VALUE!,119,#VALUE!
Monte Alegre,1504802,"140,0","334,0",140,334,137.5886525
Muaná,1504901,"6,0","77,0",6,77,1014.285714
Nova Esperança do Piriá,1504950,"49,0","59,0",49,59,20
Nova Ipixuna,1504976,"108,0","108,0",108,108,0
Nova Timboteua,1505007,"0,0","40,0",0,40,4000
Novo Progresso,1505031,"17,0","73,0",17,73,311.1111111
Novo Repartimento,1505064,"47,0","139,0",47,139,191.6666667
Óbidos,1505106,"75,0","259,0",75,259,242.1052632
Oeiras do Pará,1505205,"14,0","79,0",14,79,433.3333333
Oriximiná,1505304,"63,0","295,0",63,295,362.5
Ourém,1505403,"5,0","44,0",5,44,650
Ourilândia do Norte,1505437,"14,0","132,0",14,132,786.6666667
Pacajá,1505486,"27,0","125,0",27,125,350
Palestina do Pará,1505494,"0,0","46,0",0,46,4600
Paragominas,1505502,"135,0","583,0",135,583,329.4117647
Parauapebas,1505536,"275,0","962,0",275,962,248.9130435
Pau d'Arco,1505551,"1,0","29,0",1,29,1400
Peixe-Boi,1505601,"11,0","31,0",11,31,166.6666667
Piçarra,1505635,"8,0","49,0",8,49,455.5555556
Placas,1505650,"2,0","54,0",2,54,1733.333333
Ponta de Pedras,1505700,"1,0","81,0",1,81,4000
Portel,1505809,"41,0","212,0",41,212,407.1428571
Porto de Moz,1505908,"1,0","150,0",1,150,7450
Prainha,1506005,"2,0","92,0",2,92,3000
Primavera,1506104,"8,0","78,0",8,78,777.7777778
Quatipuru,1506112,"6,0","43,0",6,43,528.5714286
Redenção,1506138,"130,0","149,0",130,149,14.50381679
Rio Maria,1506161,"8,0","35,0",8,35,300
Rondon do Pará,1506187,"43,0","129,0",43,129,195.4545455
Rurópolis,1506195,"9,0","110,0",9,110,1010
Salinópolis,1506203,"45,0","83,0",45,83,82.60869565
Salvaterra,1506302,"5,0","108,0",5,108,1716.666667
Santa Bárbara do Pará,1506351,"10,0","65,0",10,65,500
Santa Cruz do Arari,1506401,"1,0","15,0",1,15,700
Santa Isabel do Pará,1506500,"64,0","218,0",64,218,236.9230769
Santa Luzia do Pará,1506559,"1,0","84,0",1,84,4150
Santa Maria das Barreiras,1506583,"2,0","112,0",2,112,3666.666667
Santa Maria do Pará,1506609,"13,0","128,0",13,128,821.4285714
Santana do Araguaia,1506708,"8,0","99,0",8,99,1011.111111
Santarém,1506807,"345,0","1412,0",345,1412,308.3815029
Santarém Novo,1506906,"7,0","52,0",7,52,562.5
Santo Antônio do Tauá,1507003,"3,0","116,0",3,116,2825
São Caetano de Odivelas,1507102,"3,0","45,0",3,45,1050
São Domingos do Araguaia,1507151,"25,0","51,0",25,51,100
