Localidade,GEOCODIGO,temp1,temp2,2007,2016,Aumento (%)
Congonhas do Norte,3118106,"0,0","22,0",0,22,2200
Conquista,3118205,"7,0","31,0",7,31,300
Conselheiro Lafaiete,3118304,"170,0","317,0",170,317,85.96491228
Conselheiro Pena,3118403,"65,0","122,0",65,122,86.36363636
Consolação,3118502,"1,0","18,0",1,18,850
Contagem,3118601,"560,0","1847,0",560,1847,229.4117647
Coqueiral,3118700,"11,0","47,0",11,47,300
Coração de Jesus,3118809,"60,0","140,0",60,140,131.147541
Cordisburgo,3118908,"1,0","14,0",1,14,650
Cordislândia,3119005,"1,0","9,0",1,9,400
Corinto,3119104,"14,0","43,0",14,43,193.3333333
Coroaci,3119203,"6,0","68,0",6,68,885.7142857
Coromandel,3119302,"68,0","152,0",68,152,121.7391304
Coronel Fabriciano,3119401,"93,0","387,0",93,387,312.7659574
Coronel Murta,3119500,"9,0","30,0",9,30,210
Coronel Pacheco,3119609,"2,0","9,0",2,9,233.3333333
Coronel Xavier Chaves,3119708,"1,0","6,0",1,6,250
Córrego Danta,3119807,"2,0","6,0",2,6,133.3333333
Córrego do Bom Jesus,3119906,"0,0","9,0",0,9,900
Córrego Fundo,3119955,"4,0","14,0",4,14,200
Córrego Novo,3120003,"0,0","16,0",0,16,1600
Couto de Magalhães de Minas,3120102,"27,0","21,0",27,21,-21.42857143
Crisólita,3120151,"36,0","43,0",36,43,18.91891892
Cristais,3120201,"2,0","76,0",2,76,2466.666667
Cristália,3120300,"4,0","40,0",4,40,720
Cristiano Otoni,3120409,"11,0","12,0",11,12,8.333333333
Cristina,3120508,"3,0","59,0",3,59,1400
Crucilândia,3120607,"8,0","17,0",8,17,100
Cruzeiro da Fortaleza,3120706,"34,0","25,0",34,25,-25.71428571
Cruzília,3120805,"14,0","58,0",14,58,293.3333333
Cuparaque,3120839,"2,0","48,0",2,48,1533.333333
Curral de Dentro,3120870,"11,0","34,0",11,34,191.6666667
Curvelo,3120904,"46,0","260,0",46,260,455.3191489
Datas,3121001,"9,0","28,0",9,28,190
Delfim Moreira,3121100,"12,0","79,0",12,79,515.3846154
Delfinópolis,3121209,"5,0","25,0",5,25,333.3333333
Delta,3121258,"0,0","57,0",0,57,5700
Descoberto,3121308,"5,0","9,0",5,9,66.66666667
Desterro de Entre Rios,3121407,"33,0","41,0",33,41,23.52941176
Desterro do Melo,3121506,"5,0","22,0",5,22,283.3333333
Diamantina,3121605,"61,0","215,0",61,215,248.3870968
Diogo de Vasconcelos,3121704,"8,0","5,0",8,5,-33.33333333
Dionísio,3121803,"8,0","10,0",8,10,22.22222222
Divinésia,3121902,"0,0","1,0",0,1,100
Divino,3122009,"155,0","105,0",155,105,-32.05128205
Divino das Laranjeiras,3122108,"3,0","14,0",3,14,275
Divinolândia de Minas,3122207,"20,0","12,0",20,12,-38.0952381
Divinópolis,3122306,"335,0","916,0",335,916,172.9166667
Divisa Alegre,3122355,"5,0","11,0",5,11,100
Divisa Nova,3122405,"41,0","25,0",41,25,-38.0952381
Divisópolis,3122454,"7,0","34,0",7,34,337.5
Dom Bosco,3122470,"20,0","25,0",20,25,23.80952381
Dom Cavati,3122504,"3,0","10,0",3,10,175
Dom Joaquim,3122603,"12,0","16,0",12,16,30.76923077
Dom Silvério,3122702,"0,0","5,0",0,5,500
Dom Viçoso,3122801,"2,0","10,0",2,10,266.6666667
Dona Eusébia,3122900,"0,0","21,0",0,21,2100
Dores de Campos,3123007,"8,0","29,0",8,29,233.3333333
Dores de Guanhães,3123106,"15,0","18,0",15,18,18.75
Dores do Indaiá,3123205,"57,0","61,0",57,61,6.896551724
Dores do Turvo,3123304,"3,0","18,0",3,18,375
Doresópolis,3123403,"0,0","19,0",0,19,1900
Douradoquara,3123502,"12,0","13,0",12,13,7.692307692
Durandé,3123528,"20,0","20,0",20,20,0
Elói Mendes,3123601,"21,0","121,0",21,121,454.5454545
Engenheiro Caldas,3123700,"6,0","38,0",6,38,457.1428571
Engenheiro Navarro,3123809,"4,0","78,0",4,78,1480
Entre Folhas,3123858,"6,0","11,0",6,11,71.42857143
Entre Rios de Minas,3123908,"16,0","43,0",16,43,158.8235294
Ervália,3124005,"61,0","47,0",61,47,-22.58064516
Esmeraldas,3124104,"27,0","186,0",27,186,567.8571429
Espera Feliz,3124203,"27,0","238,0",27,238,753.5714286
Espinosa,3124302,"10,0","77,0",10,77,609.0909091
Espírito Santo do Dourado,3124401,"3,0","9,0",3,9,150
Estiva,3124500,"1,0","41,0",1,41,2000
Estrela Dalva,3124609,"13,0","0,0",13,0,-92.85714286
Estrela do Indaiá,3124708,"30,0","22,0",30,22,-25.80645161
Estrela do Sul,3124807,"16,0","65,0",16,65,288.2352941
Eugenópolis,3124906,"36,0","54,0",36,54,48.64864865
Ewbank da Câmara,3125002,"1,0","37,0",1,37,1800
Extrema,3125101,"46,0","203,0",46,203,334.0425532
Fama,3125200,"4,0","6,0",4,6,40
Faria Lemos,3125309,"21,0","48,0",21,48,122.7272727
Felício dos Santos,3125408,"2,0","27,0",2,27,833.3333333
São Gonçalo do Rio Preto,3125507,"4,0","27,0",4,27,460
Felisburgo,3125606,"17,0","39,0",17,39,122.2222222
Felixlândia,3125705,"6,0","38,0",6,38,457.1428571
Fernandes Tourinho,3125804,"0,0","8,0",0,8,800
Ferros,3125903,"12,0","44,0",12,44,246.1538462
Fervedouro,3125952,"16,0","58,0",16,58,247.0588235
Florestal,3126000,"21,0","26,0",21,26,22.72727273
Formiga,3126109,"50,0","238,0",50,238,368.627451
Formoso,3126208,"4,0","24,0",4,24,400
Fortaleza de Minas,3126307,"0,0","6,0",0,6,600
Fortuna de Minas,3126406,"9,0","17,0",9,17,80
Francisco Badaró,3126505,"11,0","14,0",11,14,25
Francisco Dumont,3126604,"22,0","18,0",22,18,-17.39130435
Francisco Sá,3126703,"4,0","153,0",4,153,2980
Franciscópolis,3126752,"1,0","23,0",1,23,1100
Frei Gaspar,3126802,"4,0","23,0",4,23,380
Frei Inocêncio,3126901,"2,0","32,0",2,32,1000
Frei Lagonegro,3126950,"3,0","12,0",3,12,225
Fronteira,3127008,"19,0","53,0",19,53,170
Fronteira dos Vales,3127057,"0,0","36,0",0,36,3600
Fruta de Leite,3127073,"2,0","31,0",2,31,966.6666667
Frutal,3127107,"129,0","318,0",129,318,145.3846154
Funilândia,3127206,"14,0","27,0",14,27,86.66666667
Galiléia,3127305,"2,0","22,0",2,22,666.6666667
Gameleiras,3127339,"6,0","26,0",6,26,285.7142857
Glaucilândia,3127354,"18,0","14,0",18,14,-21.05263158
Goiabeira,3127370,"9,0","16,0",9,16,70
Goianá,3127388,"5,0","5,0",5,5,0
Gonçalves,3127404,"5,0","39,0",5,39,566.6666667
Gonzaga,3127503,"2,0","25,0",2,25,766.6666667
Gouveia,3127602,"4,0","49,0",4,49,900
Governador Valadares,3127701,"197,0","1451,0",197,1451,633.3333333
Grão Mogol,3127800,"4,0","84,0",4,84,1600
Grupiara,3127909,"0,0","0,0",0,0,0
Guanhães,3128006,"126,0","123,0",126,123,-2.362204724
Guapé,3128105,"6,0","73,0",6,73,957.1428571
Guaraciaba,3128204,"18,0","14,0",18,14,-21.05263158
Guaraciama,3128253,"7,0","33,0",7,33,325
Guaranésia,3128303,"34,0","96,0",34,96,177.1428571
Guarani,3128402,"15,0","68,0",15,68,331.25
Guarará,3128501,"3,0","12,0",3,12,225
Guarda-Mor,3128600,"3,0","11,0",3,11,200
Guaxupé,3128709,"124,0","275,0",124,275,120.8
Guidoval,3128808,"0,0","12,0",0,12,1200
Guimarânia,3128907,"45,0","74,0",45,74,63.04347826
Guiricema,3129004,"3,0","7,0",3,7,100
Gurinhatã,3129103,"1,0","24,0",1,24,1150
Heliodora,3129202,"3,0","14,0",3,14,275
Iapu,3129301,"41,0","17,0",41,17,-57.14285714
Ibertioga,3129400,"10,0","37,0",10,37,245.4545455
Ibiá,3129509,"67,0","123,0",67,123,82.35294118
Ibiaí,3129608,"33,0","27,0",33,27,-17.64705882
Ibiracatu,3129657,"7,0","64,0",7,64,712.5
Ibiraci,3129707,"23,0","59,0",23,59,150
Ibirité,3129806,"91,0","346,0",91,346,277.173913
Ibitiúra de Minas,3129905,"0,0","4,0",0,4,400
Ibituruna,3130002,"5,0","7,0",5,7,33.33333333
Icaraí de Minas,3130051,"2,0","50,0",2,50,1600
Igarapé,3130101,"15,0","169,0",15,169,962.5
Igaratinga,3130200,"5,0","25,0",5,25,333.3333333
Iguatama,3130309,"16,0","27,0",16,27,64.70588235
Ijaci,3130408,"11,0","50,0",11,50,325
Ilicínea,3130507,"11,0","111,0",11,111,833.3333333
Imbé de Minas,3130556,"0,0","12,0",0,12,1200
Inconfidentes,3130606,"1,0","26,0",1,26,1250
Indaiabira,3130655,"26,0","39,0",26,39,48.14814815
Indianópolis,3130705,"5,0","8,0",5,8,50
Ingaí,3130804,"1,0","4,0",1,4,150
Inhapim,3130903,"12,0","49,0",12,49,284.6153846
Inhaúma,3131000,"2,0","27,0",2,27,833.3333333
Inimutaba,3131109,"11,0","19,0",11,19,66.66666667
Ipaba,3131158,"3,0","34,0",3,34,775
Ipanema,3131208,"5,0","60,0",5,60,916.6666667
Ipatinga,3131307,"369,0","870,0",369,870,135.4054054
Ipiaçu,3131406,"7,0","57,0",7,57,625
Ipuiúna,3131505,"2,0","17,0",2,17,500
Iraí de Minas,3131604,"43,0","72,0",43,72,65.90909091
Itabira,3131703,"252,0","345,0",252,345,36.75889328
Itabirinha,3131802,"3,0","51,0",3,51,1200
Itabirito,3131901,"28,0","118,0",28,118,310.3448276
Itacambira,3132008,"1,0","11,0",1,11,500
Itacarambi,3132107,"17,0","105,0",17,105,488.8888889
Itaguara,3132206,"31,0","82,0",31,82,159.375
Itaipé,3132305,"6,0","67,0",6,67,871.4285714
Itajubá,3132404,"148,0","468,0",148,468,214.7651007
Itamarandiba,3132503,"66,0","97,0",66,97,46.26865672
Itamarati de Minas,3132602,"35,0","13,0",35,13,-61.11111111
Itambacuri,3132701,"59,0","128,0",59,128,115
Itambé do Mato Dentro,3132800,"2,0","16,0",2,16,466.6666667
Itamogi,3132909,"3,0","59,0",3,59,1400
Itamonte,3133006,"9,0","23,0",9,23,140
Itanhandu,3133105,"33,0","22,0",33,22,-32.35294118
Itanhomi,3133204,"21,0","53,0",21,53,145.4545455
Itaobim,3133303,"49,0","76,0",49,76,54
Itapagipe,3133402,"8,0","89,0",8,89,900
Itapecerica,3133501,"61,0","91,0",61,91,48.38709677
Itapeva,3133600,"9,0","22,0",9,22,130
Itatiaiuçu,3133709,"8,0","53,0",8,53,500
Itaú de Minas,3133758,"20,0","24,0",20,24,19.04761905
Itaúna,3133808,"172,0","326,0",172,326,89.01734104
Itaverava,3133907,"22,0","19,0",22,19,-13.04347826
Itinga,3134004,"6,0","143,0",6,143,1957.142857
Itueta,3134103,"9,0","26,0",9,26,170
Ituiutaba,3134202,"167,0","807,0",167,807,380.952381
Itumirim,3134301,"6,0","8,0",6,8,28.57142857
Iturama,3134400,"26,0","226,0",26,226,740.7407407
Itutinga,3134509,"6,0","11,0",6,11,71.42857143
Jaboticatubas,3134608,"33,0","68,0",33,68,102.9411765
Jacinto,3134707,"8,0","39,0",8,39,344.4444444
Jacuí,3134806,"8,0","27,0",8,27,211.1111111
Jacutinga,3134905,"13,0","28,0",13,28,107.1428571
Jaguaraçu,3135001,"1,0","3,0",1,3,100
Jaíba,3135050,"26,0","64,0",26,64,140.7407407
Jampruca,3135076,"2,0","16,0",2,16,466.6666667
Janaúba,3135100,"65,0","306,0",65,306,365.1515152
Januária,3135209,"95,0","481,0",95,481,402.0833333
Japaraíba,3135308,"7,0","26,0",7,26,237.5
Japonvar,3135357,"39,0","45,0",39,45,15
Jeceaba,3135407,"3,0","13,0",3,13,250
Jenipapo de Minas,3135456,"6,0","59,0",6,59,757.1428571
Jequeri,3135506,"20,0","29,0",20,29,42.85714286
Jequitaí,3135605,"15,0","22,0",15,22,43.75
Jequitibá,3135704,"6,0","64,0",6,64,828.5714286
Jequitinhonha,3135803,"123,0","145,0",123,145,17.74193548
Jesuânia,3135902,"4,0","3,0",4,3,-20
Joaíma,3136009,"44,0","94,0",44,94,111.1111111
Joanésia,3136108,"1,0","18,0",1,18,850
João Monlevade,3136207,"143,0","234,0",143,234,63.19444444
João Pinheiro,3136306,"40,0","236,0",40,236,478.0487805
Joaquim Felício,3136405,"10,0","21,0",10,21,100
Jordânia,3136504,"50,0","34,0",50,34,-31.37254902
José Gonçalves de Minas,3136520,"16,0","18,0",16,18,11.76470588
José Raydan,3136553,"3,0","19,0",3,19,400
Josenópolis,3136579,"8,0","23,0",8,23,166.6666667
Nova União,3136603,"11,0","16,0",11,16,41.66666667
Juatuba,3136652,"47,0","139,0",47,139,191.6666667
Juiz de Fora,3136702,"699,0","1506,0",699,1506,115.2857143
Juramento,3136801,"25,0","25,0",25,25,0
Juruaia,3136900,"11,0","24,0",11,24,108.3333333
Juvenília,3136959,"5,0","18,0",5,18,216.6666667
Ladainha,3137007,"21,0","80,0",21,80,268.1818182
Lagamar,3137106,"12,0","27,0",12,27,115.3846154
Lagoa da Prata,3137205,"58,0","312,0",58,312,430.5084746
Lagoa dos Patos,3137304,"2,0","20,0",2,20,600
Lagoa Dourada,3137403,"0,0","12,0",0,12,1200
Lagoa Formosa,3137502,"1,0","30,0",1,30,1450
Lagoa Grande,3137536,"5,0","42,0",5,42,616.6666667
Lagoa Santa,3137601,"89,0","596,0",89,596,563.3333333
Lajinha,3137700,"14,0","50,0",14,50,240
Lambari,3137809,"12,0","101,0",12,101,684.6153846
Lamim,3137908,"13,0","7,0",13,7,-42.85714286
Laranjal,3138005,"3,0","6,0",3,6,75
Lassance,3138104,"8,0","31,0",8,31,255.5555556
Lavras,3138203,"276,0","1209,0",276,1209,336.8231047
Leandro Ferreira,3138302,"1,0","12,0",1,12,550
Leme do Prado,3138351,"104,0","27,0",104,27,-73.33333333
Leopoldina,3138401,"113,0","110,0",113,110,-2.631578947
Liberdade,3138500,"41,0","33,0",41,33,-19.04761905
Lima Duarte,3138609,"69,0","62,0",69,62,-10
Limeira do Oeste,3138625,"1,0","17,0",1,17,800
Lontra,3138658,"68,0","31,0",68,31,-53.62318841
Luisburgo,3138674,"5,0","13,0",5,13,133.3333333
Luislândia,3138682,"7,0","43,0",7,43,450
Luminárias,3138708,"7,0","18,0",7,18,137.5
Luz,3138807,"46,0","124,0",46,124,165.9574468
Machacalis,3138906,"3,0","27,0",3,27,600
Machado,3139003,"22,0","362,0",22,362,1478.26087
Madre de Deus de Minas,3139102,"1,0","24,0",1,24,1150
Malacacheta,3139201,"23,0","142,0",23,142,495.8333333
Mamonas,3139250,"1,0","10,0",1,10,450
Manga,3139300,"18,0","133,0",18,133,605.2631579
Manhuaçu,3139409,"210,0","335,0",210,335,59.24170616
Manhumirim,3139508,"16,0","39,0",16,39,135.2941176
Mantena,3139607,"12,0","102,0",12,102,692.3076923
Maravilhas,3139706,"13,0","38,0",13,38,178.5714286
Mar de Espanha,3139805,"1,0","43,0",1,43,2100
Maria da Fé,3139904,"2,0","162,0",2,162,5333.333333
Mariana,3140001,"64,0","215,0",64,215,232.3076923
Marilac,3140100,"15,0","33,0",15,33,112.5
Mário Campos,3140159,"15,0","56,0",15,56,256.25
Maripá de Minas,3140209,"2,0","37,0",2,37,1166.666667
Marliéria,3140308,"0,0","19,0",0,19,1900
Marmelópolis,3140407,"18,0","30,0",18,30,63.15789474
Martinho Campos,3140506,"33,0","34,0",33,34,2.941176471
Martins Soares,3140530,"1,0","7,0",1,7,300
Mata Verde,3140555,"19,0","49,0",19,49,150
Materlândia,3140605,"2,0","8,0",2,8,200
Mateus Leme,3140704,"37,0","133,0",37,133,252.6315789
Matias Barbosa,3140803,"5,0","23,0",5,23,300
Matias Cardoso,3140852,"7,0","49,0",7,49,525
Matipó,3140902,"78,0","122,0",78,122,55.69620253
Mato Verde,3141009,"5,0","61,0",5,61,933.3333333
Matozinhos,3141108,"42,0","122,0",42,122,186.0465116
Matutina,3141207,"0,0","18,0",0,18,1800
Medeiros,3141306,"2,0","5,0",2,5,100
Medina,3141405,"8,0","63,0",8,63,611.1111111
Mendes Pimentel,3141504,"6,0","79,0",6,79,1042.857143
Mercês,3141603,"30,0","56,0",30,56,83.87096774
Mesquita,3141702,"12,0","15,0",12,15,23.07692308
Minas Novas,3141801,"52,0","124,0",52,124,135.8490566
Minduri,3141900,"0,0","11,0",0,11,1100
Mirabela,3142007,"16,0","73,0",16,73,335.2941176
Miradouro,3142106,"37,0","77,0",37,77,105.2631579
Miraí,3142205,"19,0","80,0",19,80,305
Miravânia,3142254,"33,0","63,0",33,63,88.23529412
Moeda,3142304,"16,0","33,0",16,33,100
Moema,3142403,"4,0","59,0",4,59,1100
Monjolos,3142502,"8,0","36,0",8,36,311.1111111
Monsenhor Paulo,3142601,"1,0","75,0",1,75,3700
Montalvânia,3142700,"13,0","68,0",13,68,392.8571429
Monte Alegre de Minas,3142809,"25,0","22,0",25,22,-11.53846154
Monte Azul,3142908,"36,0","44,0",36,44,21.62162162
Monte Belo,3143005,"3,0","34,0",3,34,775
Monte Carmelo,3143104,"49,0","159,0",49,159,220
Monte Formoso,3143153,"61,0","36,0",61,36,-40.32258065
Monte Santo de Minas,3143203,"20,0","142,0",20,142,580.952381
Montes Claros,3143302,"491,0","2358,0",491,2358,379.4715447
Monte Sião,3143401,"9,0","90,0",9,90,810
Montezuma,3143450,"4,0","22,0",4,22,360
Morada Nova de Minas,3143500,"7,0","14,0",7,14,87.5
Morro da Garça,3143609,"0,0","13,0",0,13,1300
Morro do Pilar,3143708,"20,0","13,0",20,13,-33.33333333
Munhoz,3143807,"6,0","17,0",6,17,157.1428571
Muriaé,3143906,"157,0","697,0",157,697,341.7721519
Mutum,3144003,"70,0","107,0",70,107,52.11267606
Muzambinho,3144102,"61,0","67,0",61,67,9.677419355
Nacip Raydan,3144201,"4,0","51,0",4,51,940
Nanuque,3144300,"11,0","109,0",11,109,816.6666667
Naque,3144359,"46,0","29,0",46,29,-36.17021277
Natalândia,3144375,"3,0","9,0",3,9,150
Natércia,3144409,"5,0","24,0",5,24,316.6666667
Nazareno,3144508,"0,0","13,0",0,13,1300
Nepomuceno,3144607,"6,0","109,0",6,109,1471.428571
Ninheira,3144656,"13,0","26,0",13,26,92.85714286
Nova Belém,3144672,"6,0","57,0",6,57,728.5714286
Nova Era,3144706,"15,0","56,0",15,56,256.25
Nova Lima,3144805,"92,0","294,0",92,294,217.2043011
Nova Módica,3144904,"19,0","13,0",19,13,-30
Nova Ponte,3145000,"2,0","210,0",2,210,6933.333333
Nova Porteirinha,3145059,"7,0","18,0",7,18,137.5
Nova Resende,3145109,"11,0","63,0",11,63,433.3333333
Nova Serrana,3145208,"71,0","214,0",71,214,198.6111111
Novo Cruzeiro,3145307,"14,0","196,0",14,196,1213.333333
Novo Oriente de Minas,3145356,"4,0","55,0",4,55,1020
Novorizonte,3145372,"8,0","30,0",8,30,244.4444444
Olaria,3145406,"6,0","10,0",6,10,57.14285714
Olhos-d'Água,3145455,"0,0","24,0",0,24,2400
Olímpio Noronha,3145505,"0,0","6,0",0,6,600
Oliveira,3145604,"114,0","222,0",114,222,93.91304348
Oliveira Fortes,3145703,"2,0","14,0",2,14,400
Onça de Pitangui,3145802,"10,0","15,0",10,15,45.45454545
Oratórios,3145851,"0,0","8,0",0,8,800
Orizânia,3145877,"25,0","26,0",25,26,3.846153846
Ouro Branco,3145901,"39,0","165,0",39,165,315
Ouro Fino,3146008,"64,0","95,0",64,95,47.69230769
Ouro Preto,3146107,"50,0","212,0",50,212,317.6470588
Ouro Verde de Minas,3146206,"12,0","29,0",12,29,130.7692308
Padre Carvalho,3146255,"5,0","24,0",5,24,316.6666667
Padre Paraíso,3146305,"22,0","108,0",22,108,373.9130435
Paineiras,3146404,"24,0","23,0",24,23,-4
Pains,3146503,"43,0","13,0",43,13,-68.18181818
Pai Pedro,3146552,"4,0","55,0",4,55,1020
Paiva,3146602,"2,0","8,0",2,8,200
Palma,3146701,"1,0","35,0",1,35,1700
Palmópolis,3146750,"5,0","21,0",5,21,266.6666667
Papagaios,3146909,"13,0","57,0",13,57,314.2857143
Paracatu,3147006,"276,0","510,0",276,510,84.4765343
Pará de Minas,3147105,"154,0","328,0",154,328,112.2580645
Paraguaçu,3147204,"26,0","175,0",26,175,551.8518519
Paraisópolis,3147303,"9,0","109,0",9,109,1000
Paraopeba,3147402,"40,0","150,0",40,150,268.2926829
Passabém,3147501,"0,0","8,0",0,8,800
Passa Quatro,3147600,"1,0","39,0",1,39,1900
Passa Tempo,3147709,"13,0","13,0",13,13,0
Passa-Vinte,3147808,"3,0","6,0",3,6,75
Passos,3147907,"143,0","360,0",143,360,150.6944444
Patis,3147956,"21,0","48,0",21,48,122.7272727
Patos de Minas,3148004,"298,0","297,0",298,297,-0.3344481605
Patrocínio,3148103,"181,0","688,0",181,688,278.5714286
Patrocínio do Muriaé,3148202,"5,0","18,0",5,18,216.6666667
Paula Cândido,3148301,"7,0","25,0",7,25,225
Paulistas,3148400,"9,0","25,0",9,25,160
Pavão,3148509,"16,0","47,0",16,47,182.3529412
Peçanha,3148608,"11,0","110,0",11,110,825
Pedra Azul,3148707,"13,0","52,0",13,52,278.5714286
Pedra Bonita,3148756,"0,0","17,0",0,17,1700
Pedra do Anta,3148806,"7,0","4,0",7,4,-37.5
Pedra do Indaiá,3148905,"54,0","8,0",54,8,-83.63636364
Pedra Dourada,3149002,"6,0","22,0",6,22,228.5714286
Pedralva,3149101,"21,0","39,0",21,39,81.81818182
Pedras de Maria da Cruz,3149150,"10,0","75,0",10,75,590.9090909
Pedrinópolis,3149200,"3,0","22,0",3,22,475
Pedro Leopoldo,3149309,"15,0","182,0",15,182,1043.75
Pedro Teixeira,3149408,"2,0","7,0",2,7,166.6666667
Pequeri,3149507,"1,0","47,0",1,47,2300
Pequi,3149606,"0,0","8,0",0,8,800
Perdigão,3149705,"67,0","24,0",67,24,-63.23529412
Perdizes,3149804,"32,0","72,0",32,72,121.2121212
Perdões,3149903,"43,0","103,0",43,103,136.3636364
Periquito,3149952,"39,0","90,0",39,90,127.5
Pescador,3150000,"2,0","7,0",2,7,166.6666667
Piau,3150109,"7,0","11,0",7,11,50
Piedade de Caratinga,3150158,"1,0","27,0",1,27,1300
Piedade de Ponte Nova,3150208,"3,0","3,0",3,3,0
Piedade do Rio Grande,3150307,"8,0","27,0",8,27,211.1111111
Piedade dos Gerais,3150406,"6,0","25,0",6,25,271.4285714
Pimenta,3150505,"63,0","39,0",63,39,-37.5
Pingo-d'Água,3150539,"8,0","30,0",8,30,244.4444444
Pintópolis,3150570,"30,0","50,0",30,50,64.51612903
Piracema,3150604,"5,0","41,0",5,41,600
Pirajuba,3150703,"14,0","13,0",14,13,-6.666666667
Piranga,3150802,"41,0","49,0",41,49,19.04761905
Piranguçu,3150901,"2,0","49,0",2,49,1566.666667
Piranguinho,3151008,"2,0","64,0",2,64,2066.666667
Pirapetinga,3151107,"4,0","9,0",4,9,100
Pirapora,3151206,"397,0","389,0",397,389,-2.010050251
Piraúba,3151305,"25,0","14,0",25,14,-42.30769231
Pitangui,3151404,"60,0","61,0",60,61,1.639344262
Piumhi,3151503,"10,0","156,0",10,156,1327.272727
Planura,3151602,"38,0","15,0",38,15,-58.97435897
Poço Fundo,3151701,"27,0","195,0",27,195,600
Poços de Caldas,3151800,"290,0","931,0",290,931,220.2749141
Pocrane,3151909,"3,0","20,0",3,20,425
Pompéu,3152006,"77,0","72,0",77,72,-6.41025641
Ponte Nova,3152105,"42,0","171,0",42,171,300
Ponto Chique,3152131,"46,0","11,0",46,11,-74.46808511
Ponto dos Volantes,3152170,"1,0","74,0",1,74,3650
Porteirinha,3152204,"34,0","147,0",34,147,322.8571429
Porto Firme,3152303,"1,0","16,0",1,16,750
Poté,3152402,"7,0","99,0",7,99,1150
Pouso Alegre,3152501,"92,0","524,0",92,524,464.516129
Pouso Alto,3152600,"21,0","123,0",21,123,463.6363636
Prados,3152709,"6,0","19,0",6,19,185.7142857
Prata,3152808,"53,0","51,0",53,51,-3.703703704
Pratápolis,3152907,"15,0","40,0",15,40,156.25
Pratinha,3153004,"25,0","8,0",25,8,-65.38461538
Presidente Bernardes,3153103,"30,0","25,0",30,25,-16.12903226
Presidente Juscelino,3153202,"10,0","10,0",10,10,0
Presidente Kubitschek,3153301,"20,0","48,0",20,48,133.3333333
Presidente Olegário,3153400,"23,0","43,0",23,43,83.33333333
Alto Jequitibá,3153509,"13,0","16,0",13,16,21.42857143
Prudente de Morais,3153608,"13,0","24,0",13,24,78.57142857
Quartel Geral,3153707,"1,0","14,0",1,14,650
Queluzito,3153806,"1,0","4,0",1,4,150
Raposos,3153905,"5,0","53,0",5,53,800
Raul Soares,3154002,"65,0","72,0",65,72,10.60606061
Recreio,3154101,"13,0","14,0",13,14,7.142857143
Reduto,3154150,"3,0","16,0",3,16,325
Resende Costa,3154200,"13,0","58,0",13,58,321.4285714
Resplendor,3154309,"18,0","45,0",18,45,142.1052632
Ressaquinha,3154408,"8,0","60,0",8,60,577.7777778
Riachinho,3154457,"2,0","13,0",2,13,366.6666667
Riacho dos Machados,3154507,"26,0","45,0",26,45,70.37037037
Ribeirão das Neves,3154606,"192,0","1039,0",192,1039,438.8601036
Ribeirão Vermelho,3154705,"5,0","7,0",5,7,33.33333333
Rio Acima,3154804,"0,0","25,0",0,25,2500
Rio Casca,3154903,"3,0","24,0",3,24,525
Rio Doce,3155009,"0,0","2,0",0,2,200
Rio do Prado,3155108,"12,0","16,0",12,16,30.76923077
Rio Espera,3155207,"19,0","16,0",19,16,-15
Rio Manso,3155306,"9,0","38,0",9,38,290
Rio Novo,3155405,"9,0","17,0",9,17,80
Rio Paranaíba,3155504,"11,0","34,0",11,34,191.6666667
Rio Pardo de Minas,3155603,"17,0","82,0",17,82,361.1111111
Rio Piracicaba,3155702,"10,0","59,0",10,59,445.4545455
Rio Pomba,3155801,"43,0","51,0",43,51,18.18181818
Rio Preto,3155900,"2,0","10,0",2,10,266.6666667
Rio Vermelho,3156007,"6,0","35,0",6,35,414.2857143
Ritápolis,3156106,"0,0","15,0",0,15,1500
Rochedo de Minas,3156205,"3,0","2,0",3,2,-25
Rodeiro,3156304,"2,0","23,0",2,23,700
Romaria,3156403,"0,0","5,0",0,5,500
Rosário da Limeira,3156452,"2,0","12,0",2,12,333.3333333
Rubelita,3156502,"3,0","53,0",3,53,1250
Rubim,3156601,"24,0","46,0",24,46,88
Sabará,3156700,"64,0","394,0",64,394,507.6923077
Sabinópolis,3156809,"10,0","52,0",10,52,381.8181818
Sacramento,3156908,"13,0","43,0",13,43,214.2857143
Salinas,3157005,"98,0","190,0",98,190,92.92929293
Salto da Divisa,3157104,"1,0","50,0",1,50,2450
Santa Bárbara,3157203,"6,0","128,0",6,128,1742.857143
Santa Bárbara do Leste,3157252,"1,0","39,0",1,39,1900
Santa Bárbara do Monte Verde,3157278,"0,0","1,0",0,1,100
Santa Bárbara do Tugúrio,3157302,"3,0","20,0",3,20,425
Santa Cruz de Minas,3157336,"0,0","2,0",0,2,200
Santa Cruz de Salinas,3157377,"6,0","29,0",6,29,328.5714286
Santa Cruz do Escalvado,3157401,"0,0","4,0",0,4,400
Santa Efigênia de Minas,3157500,"4,0","8,0",4,8,80
Santa Fé de Minas,3157609,"1,0","13,0",1,13,600
Santa Helena de Minas,3157658,"4,0","17,0",4,17,260
Santa Juliana,3157708,"9,0","28,0",9,28,190
Santa Luzia,3157807,"105,0","719,0",105,719,579.245283
Santa Margarida,3157906,"2,0","43,0",2,43,1366.666667
Santa Maria de Itabira,3158003,"9,0","26,0",9,26,170
